               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  71,            0.032895,            0.029107,            0.010154,             0.79334,             0.77582,              0.8298,             0.58238,            0.029245,             0.01747,           0.0051681,             0.00769,             0.00769,             0.00769
                  72,            0.032967,            0.029146,            0.010169,             0.79505,             0.77552,             0.82994,             0.58289,            0.029229,            0.017469,           0.0051598,            0.007657,            0.007657,            0.007657
                  73,            0.032783,            0.029178,            0.010171,             0.79664,             0.77476,              0.8304,             0.58326,            0.029213,            0.017469,           0.0051572,            0.007624,            0.007624,            0.007624
                  74,            0.033111,             0.02944,            0.010451,             0.79461,              0.7758,             0.83105,             0.58307,            0.029199,            0.017468,           0.0051657,            0.007591,            0.007591,            0.007591
                  75,            0.032788,            0.029327,            0.010175,             0.79752,             0.77386,             0.83128,             0.58313,            0.029189,            0.017464,           0.0051651,            0.007558,            0.007558,            0.007558
                  76,            0.032862,            0.029174,            0.010118,              0.7986,             0.77375,             0.83143,             0.58336,            0.029174,            0.017458,           0.0051677,            0.007525,            0.007525,            0.007525
                  77,             0.03255,            0.028954,            0.009796,             0.79821,             0.77354,             0.83154,             0.58394,            0.029163,            0.017455,           0.0051693,            0.007492,            0.007492,            0.007492
                  78,            0.032711,            0.028802,           0.0099001,             0.79947,             0.77265,             0.83153,             0.58392,            0.029148,            0.017451,           0.0051754,            0.007459,            0.007459,            0.007459
                  79,            0.032911,            0.028954,           0.0099737,             0.79919,             0.77286,             0.83178,             0.58421,            0.029137,            0.017446,           0.0051799,            0.007426,            0.007426,            0.007426
                  80,            0.032702,            0.028892,           0.0098251,              0.7999,              0.7708,              0.8313,             0.58419,            0.029125,            0.017439,           0.0051739,            0.007393,            0.007393,            0.007393
                  81,            0.032449,            0.028826,            0.009897,             0.80277,             0.76962,             0.83172,             0.58431,            0.029119,            0.017433,           0.0051699,             0.00736,             0.00736,             0.00736
                  82,            0.032539,            0.028601,           0.0098724,             0.80017,             0.77173,             0.83204,             0.58452,            0.029106,            0.017429,           0.0051641,            0.007327,            0.007327,            0.007327
                  83,            0.032673,            0.028853,           0.0098827,             0.79812,             0.77416,             0.83241,             0.58446,            0.029096,            0.017427,           0.0051686,            0.007294,            0.007294,            0.007294
                  84,            0.032379,             0.02873,           0.0096928,             0.79803,             0.77602,             0.83251,             0.58471,            0.029088,            0.017425,           0.0051685,            0.007261,            0.007261,            0.007261
                  85,            0.032455,             0.02884,           0.0096196,             0.79799,             0.77736,              0.8324,             0.58465,             0.02908,            0.017419,           0.0051637,            0.007228,            0.007228,            0.007228
                  86,             0.03236,            0.029087,           0.0097697,              0.7958,             0.77981,             0.83231,             0.58505,            0.029076,            0.017416,           0.0051632,            0.007195,            0.007195,            0.007195
                  87,            0.032492,            0.028517,           0.0097039,             0.79448,              0.7804,             0.83229,             0.58509,            0.029071,            0.017415,           0.0051609,            0.007162,            0.007162,            0.007162
                  88,            0.032342,            0.028737,           0.0095123,              0.7939,             0.78181,             0.83228,             0.58548,            0.029071,            0.017413,           0.0051652,            0.007129,            0.007129,            0.007129
                  89,            0.032239,             0.02868,           0.0093803,             0.79319,             0.78259,             0.83231,             0.58572,             0.02907,            0.017412,           0.0051707,            0.007096,            0.007096,            0.007096
                  90,            0.032333,            0.028615,           0.0095024,             0.79285,             0.78294,             0.83241,             0.58564,             0.02907,            0.017408,            0.005179,            0.007063,            0.007063,            0.007063
