               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  71,            0.095482,             0.15601,            0.023863,             0.42746,             0.34059,             0.32883,             0.17565,            0.093396,             0.22224,            0.030044,             0.00769,             0.00769,             0.00769
                  72,            0.095384,             0.15446,             0.02387,             0.44446,             0.33337,             0.32764,             0.17607,            0.093347,             0.22255,            0.030003,            0.007657,            0.007657,            0.007657
                  73,             0.09538,             0.15474,             0.02381,             0.44339,              0.3348,             0.32623,             0.17603,            0.093392,             0.22257,            0.029985,            0.007624,            0.007624,            0.007624
                  74,            0.095545,             0.15557,            0.023641,             0.43394,             0.33269,             0.32449,             0.17472,            0.093358,             0.22222,            0.030018,            0.007591,            0.007591,            0.007591
                  75,            0.095267,             0.15698,            0.023722,             0.43196,             0.33593,             0.32799,             0.17683,            0.093332,             0.22257,            0.029913,            0.007558,            0.007558,            0.007558
                  76,            0.095184,             0.15314,            0.023496,             0.43906,             0.33372,             0.32694,             0.17679,             0.09331,             0.22251,            0.029956,            0.007525,            0.007525,            0.007525
                  77,            0.095171,             0.15433,            0.023551,             0.42565,              0.3378,             0.32659,             0.17702,            0.093264,             0.22316,            0.029964,            0.007492,            0.007492,            0.007492
                  78,            0.095244,             0.15538,            0.023613,             0.43903,             0.33495,             0.32682,             0.17681,            0.093288,             0.22322,            0.030018,            0.007459,            0.007459,            0.007459
                  79,            0.095258,             0.15508,            0.023476,             0.44091,             0.32797,             0.32473,             0.17469,            0.093297,              0.2231,            0.030042,            0.007426,            0.007426,            0.007426
                  80,            0.095088,             0.15352,            0.023507,              0.4415,             0.33484,             0.32812,             0.17787,            0.093244,             0.22253,            0.030025,            0.007393,            0.007393,            0.007393
                  81,            0.094977,             0.15452,            0.023595,             0.44113,             0.33478,             0.32729,              0.1769,            0.093217,             0.22242,            0.029976,             0.00736,             0.00736,             0.00736
                  82,            0.095242,              0.1546,            0.023447,             0.43957,             0.33355,             0.32615,             0.17675,            0.093207,             0.22251,            0.030049,            0.007327,            0.007327,            0.007327
                  83,            0.095101,             0.15427,            0.023638,             0.44685,             0.33285,             0.32863,             0.17815,            0.093122,             0.22238,            0.029996,            0.007294,            0.007294,            0.007294
                  84,            0.095014,              0.1546,            0.023564,             0.44458,               0.341,             0.33124,             0.17889,            0.093148,             0.22252,            0.029912,            0.007261,            0.007261,            0.007261
                  85,            0.094806,             0.15308,            0.023528,             0.43471,             0.34052,             0.33047,             0.17814,            0.093133,             0.22275,            0.029921,            0.007228,            0.007228,            0.007228
                  86,            0.094965,             0.15397,             0.02346,              0.4402,             0.34287,             0.33071,             0.17963,            0.093137,             0.22291,            0.029959,            0.007195,            0.007195,            0.007195
                  87,            0.095114,             0.15569,            0.023465,             0.44838,             0.33942,             0.33283,             0.17971,             0.09312,              0.2227,            0.029919,            0.007162,            0.007162,            0.007162
                  88,            0.094872,             0.15507,            0.023273,             0.44569,             0.33845,             0.33151,             0.17961,            0.093108,             0.22267,            0.030015,            0.007129,            0.007129,            0.007129
                  89,             0.09497,             0.15396,            0.023277,             0.44797,             0.33755,             0.33046,             0.17963,            0.093083,             0.22264,            0.029979,            0.007096,            0.007096,            0.007096
                  90,            0.094879,             0.15284,            0.023277,             0.45232,              0.3348,             0.33148,             0.18013,            0.093086,             0.22244,             0.02991,            0.007063,            0.007063,            0.007063
                  91,            0.095314,             0.15424,            0.023348,             0.45079,             0.33621,             0.33214,              0.1796,            0.093063,             0.22248,            0.029928,             0.00703,             0.00703,             0.00703
                  92,            0.094603,             0.15272,            0.023127,             0.45229,             0.33785,             0.33353,             0.18034,            0.093032,             0.22237,            0.029907,            0.006997,            0.006997,            0.006997
                  93,            0.094991,             0.15537,            0.023178,             0.44965,             0.33579,             0.33319,             0.18032,            0.092995,             0.22244,             0.03002,            0.006964,            0.006964,            0.006964
                  94,            0.094884,             0.15558,            0.023206,             0.45096,             0.33813,             0.33426,             0.18074,            0.093023,             0.22227,            0.029994,            0.006931,            0.006931,            0.006931
                  95,            0.094538,             0.15289,            0.023076,             0.45281,             0.33696,              0.3341,             0.18085,            0.093024,             0.22246,            0.029998,            0.006898,            0.006898,            0.006898
                  96,            0.094442,              0.1538,             0.02292,             0.43726,              0.3461,             0.33385,             0.18141,            0.093028,             0.22279,            0.029999,            0.006865,            0.006865,            0.006865
                  97,            0.094689,             0.15451,             0.02308,              0.4498,             0.34234,             0.33516,             0.18214,            0.093007,             0.22268,            0.029954,            0.006832,            0.006832,            0.006832
                  98,            0.094366,             0.15242,            0.022986,             0.45321,             0.33909,             0.33463,             0.18182,            0.092982,             0.22264,            0.029912,            0.006799,            0.006799,            0.006799
                  99,            0.094807,              0.1537,            0.023131,             0.45242,             0.33868,             0.33581,              0.1825,            0.092948,             0.22282,            0.029868,            0.006766,            0.006766,            0.006766
                 100,            0.094442,             0.15329,            0.023005,             0.44967,             0.34038,             0.33592,              0.1829,             0.09293,             0.22306,            0.029843,            0.006733,            0.006733,            0.006733
                 101,            0.094235,             0.15211,             0.02285,             0.45177,             0.33684,             0.33592,             0.18303,            0.092926,             0.22315,            0.029815,              0.0067,              0.0067,              0.0067
                 102,             0.09463,             0.15223,            0.023038,             0.45281,             0.33929,              0.3362,             0.18322,            0.092922,             0.22301,            0.029803,            0.006667,            0.006667,            0.006667
                 103,            0.094574,              0.1528,             0.02302,             0.45498,             0.33853,             0.33574,             0.18329,            0.092915,             0.22292,            0.029778,            0.006634,            0.006634,            0.006634
                 104,            0.094788,              0.1527,            0.023159,             0.45371,             0.33636,             0.33519,             0.18288,            0.092908,             0.22292,            0.029785,            0.006601,            0.006601,            0.006601
                 105,            0.094322,             0.15372,            0.022937,             0.44683,             0.33995,             0.33503,             0.18228,            0.092904,             0.22306,            0.029809,            0.006568,            0.006568,            0.006568
                 106,            0.094149,             0.15117,            0.022812,             0.44562,             0.33681,             0.33501,              0.1831,              0.0929,             0.22279,            0.029864,            0.006535,            0.006535,            0.006535
                 107,            0.094328,             0.15245,            0.022868,             0.44693,             0.33594,             0.33525,             0.18304,            0.092871,             0.22289,            0.029859,            0.006502,            0.006502,            0.006502
                 108,            0.094525,              0.1534,            0.022941,             0.44366,              0.3409,             0.33565,             0.18384,            0.092843,             0.22293,            0.029848,            0.006469,            0.006469,            0.006469
                 109,              0.0945,             0.15241,            0.022762,             0.44384,             0.33768,             0.33612,             0.18382,            0.092852,             0.22298,            0.029884,            0.006436,            0.006436,            0.006436
                 110,            0.094336,             0.15224,            0.022829,             0.44894,             0.33848,             0.33635,             0.18359,            0.092849,             0.22303,            0.029892,            0.006403,            0.006403,            0.006403
                 111,            0.094271,              0.1528,            0.022639,              0.4433,             0.34121,             0.33674,             0.18436,            0.092831,             0.22294,            0.029873,             0.00637,             0.00637,             0.00637
                 112,            0.094334,             0.15102,            0.022713,             0.45232,             0.33601,             0.33665,             0.18404,            0.092811,             0.22313,            0.029905,            0.006337,            0.006337,            0.006337
                 113,            0.093946,             0.15107,            0.022687,             0.45925,             0.33176,             0.33603,             0.18355,             0.09281,             0.22321,            0.029911,            0.006304,            0.006304,            0.006304
                 114,             0.09429,             0.15177,            0.022631,             0.45469,             0.33559,             0.33513,             0.18339,            0.092801,             0.22312,            0.029917,            0.006271,            0.006271,            0.006271
                 115,            0.094327,             0.15253,            0.022669,             0.45835,             0.33636,             0.33581,             0.18385,            0.092804,             0.22315,            0.029902,            0.006238,            0.006238,            0.006238
                 116,            0.094307,               0.152,            0.022665,             0.45047,             0.34085,              0.3358,             0.18357,            0.092793,             0.22321,            0.029895,            0.006205,            0.006205,            0.006205
                 117,             0.09435,             0.15146,            0.022704,             0.45281,             0.33992,             0.33576,             0.18357,            0.092779,             0.22325,            0.029882,            0.006172,            0.006172,            0.006172
                 118,            0.094339,             0.15265,            0.022645,             0.45373,             0.33927,             0.33572,             0.18324,            0.092779,             0.22339,            0.029873,            0.006139,            0.006139,            0.006139
                 119,            0.094463,             0.15142,            0.022563,              0.4581,              0.3365,             0.33619,             0.18337,            0.092776,             0.22346,            0.029875,            0.006106,            0.006106,            0.006106
                 120,            0.093971,             0.14989,            0.022505,             0.45975,             0.33522,             0.33634,              0.1833,            0.092761,             0.22349,            0.029856,            0.006073,            0.006073,            0.006073
                 121,             0.09451,             0.15241,             0.02259,             0.46299,             0.33428,             0.33573,             0.18312,            0.092749,             0.22355,            0.029835,             0.00604,             0.00604,             0.00604
                 122,             0.09369,             0.15051,            0.022544,             0.46052,             0.33753,             0.33632,             0.18326,            0.092744,             0.22355,            0.029834,            0.006007,            0.006007,            0.006007
                 123,            0.094328,             0.15115,            0.022602,             0.45442,             0.33936,             0.33603,             0.18334,            0.092742,             0.22349,            0.029838,            0.005974,            0.005974,            0.005974
                 124,            0.093967,             0.15015,             0.02248,             0.45885,             0.33773,             0.33603,             0.18327,            0.092746,             0.22347,            0.029829,            0.005941,            0.005941,            0.005941
                 125,            0.094085,             0.15159,            0.022451,             0.45802,             0.33769,              0.3358,             0.18318,            0.092734,              0.2235,            0.029812,            0.005908,            0.005908,            0.005908
                 126,            0.093785,             0.15009,            0.022421,              0.4564,             0.34105,             0.33638,             0.18357,            0.092722,             0.22352,            0.029812,            0.005875,            0.005875,            0.005875
                 127,            0.093812,             0.15188,            0.022388,             0.45806,             0.34023,             0.33632,             0.18362,             0.09272,             0.22346,            0.029815,            0.005842,            0.005842,            0.005842
                 128,             0.09418,             0.15177,            0.022476,             0.45645,             0.34045,              0.3369,              0.1839,            0.092717,             0.22352,            0.029821,            0.005809,            0.005809,            0.005809
                 129,            0.093926,             0.15098,            0.022322,             0.45354,             0.34081,             0.33738,             0.18383,            0.092716,             0.22348,            0.029824,            0.005776,            0.005776,            0.005776
                 130,            0.093979,             0.15014,            0.022658,             0.45477,             0.34344,             0.33719,             0.18428,            0.092715,             0.22354,            0.029825,            0.005743,            0.005743,            0.005743
                 131,            0.093639,             0.15009,            0.022427,             0.45792,             0.34052,             0.33735,             0.18453,            0.092714,             0.22356,            0.029827,             0.00571,             0.00571,             0.00571
                 132,            0.093855,             0.14896,            0.022333,              0.4552,             0.34195,             0.33768,             0.18462,            0.092712,              0.2236,             0.02983,            0.005677,            0.005677,            0.005677
                 133,            0.093885,             0.14969,            0.022172,             0.45632,              0.3426,             0.33795,             0.18477,            0.092698,             0.22365,            0.029834,            0.005644,            0.005644,            0.005644
                 134,            0.093469,             0.14874,             0.02229,             0.45669,             0.34296,             0.33819,             0.18485,            0.092694,              0.2237,            0.029839,            0.005611,            0.005611,            0.005611
                 135,            0.093915,             0.15075,            0.022231,              0.4574,             0.34361,             0.33809,             0.18499,            0.092692,             0.22373,            0.029849,            0.005578,            0.005578,            0.005578
                 136,            0.093661,             0.14757,            0.022249,             0.46196,             0.34137,             0.33777,             0.18479,            0.092688,             0.22376,            0.029854,            0.005545,            0.005545,            0.005545
                 137,            0.094282,             0.15089,            0.022177,             0.46056,             0.34133,             0.33756,             0.18462,            0.092687,             0.22374,            0.029863,            0.005512,            0.005512,            0.005512
                 138,            0.093974,             0.15013,            0.022242,             0.45778,             0.34289,             0.33744,             0.18472,            0.092682,             0.22375,            0.029872,            0.005479,            0.005479,            0.005479
                 139,            0.093989,             0.14917,            0.022121,              0.4577,              0.3417,             0.33809,              0.1849,            0.092681,             0.22376,            0.029885,            0.005446,            0.005446,            0.005446
                 140,            0.093368,              0.1497,            0.022243,             0.46061,             0.34104,             0.33816,             0.18501,            0.092669,             0.22375,            0.029894,            0.005413,            0.005413,            0.005413
                 141,            0.094119,             0.15096,            0.022288,             0.46026,             0.34242,             0.33817,             0.18474,            0.092663,             0.22376,            0.029901,             0.00538,             0.00538,             0.00538
                 142,            0.093621,             0.14979,            0.022147,             0.46332,             0.34105,             0.33845,             0.18493,             0.09266,             0.22378,              0.0299,            0.005347,            0.005347,            0.005347
                 143,            0.093487,             0.14932,            0.021975,             0.46063,             0.34131,             0.33841,             0.18493,            0.092659,             0.22381,            0.029908,            0.005314,            0.005314,            0.005314
                 144,            0.093527,             0.14915,            0.022026,             0.46109,             0.33994,             0.33872,             0.18509,            0.092651,             0.22382,             0.02991,            0.005281,            0.005281,            0.005281
                 145,            0.093739,             0.14915,            0.022005,             0.45933,             0.34206,             0.33834,             0.18501,            0.092648,             0.22385,            0.029917,            0.005248,            0.005248,            0.005248
                 146,            0.093793,              0.1499,            0.022047,             0.45735,              0.3429,             0.33848,             0.18518,            0.092646,             0.22388,            0.029921,            0.005215,            0.005215,            0.005215
                 147,            0.093769,             0.14939,              0.0222,             0.46196,             0.34246,             0.33863,              0.1854,            0.092643,             0.22387,            0.029923,            0.005182,            0.005182,            0.005182
                 148,            0.093409,             0.14986,            0.021808,             0.46047,             0.34383,             0.33866,             0.18538,             0.09264,             0.22388,            0.029934,            0.005149,            0.005149,            0.005149
                 149,            0.093635,             0.15167,             0.02198,             0.45801,             0.34481,             0.33846,              0.1856,            0.092637,             0.22384,            0.029927,            0.005116,            0.005116,            0.005116
                 150,            0.093428,             0.14955,            0.022019,             0.45832,             0.34668,             0.33874,             0.18558,            0.092631,             0.22382,            0.029923,            0.005083,            0.005083,            0.005083
                 151,            0.093348,             0.14897,            0.021999,             0.46007,             0.34518,             0.33824,             0.18557,            0.092631,             0.22381,            0.029922,             0.00505,             0.00505,             0.00505
                 152,            0.093506,              0.1485,            0.021981,             0.45864,             0.34507,             0.33826,             0.18576,            0.092628,             0.22384,            0.029925,            0.005017,            0.005017,            0.005017
                 153,            0.093349,             0.14937,            0.021848,             0.45983,             0.34503,             0.33854,             0.18597,            0.092627,             0.22385,            0.029925,            0.004984,            0.004984,            0.004984
                 154,            0.093617,             0.14973,            0.021968,             0.46139,             0.34396,             0.33865,             0.18599,            0.092625,             0.22385,            0.029921,            0.004951,            0.004951,            0.004951
                 155,            0.093414,             0.14739,            0.022105,             0.45913,             0.34424,             0.33837,             0.18574,            0.092624,             0.22383,            0.029922,            0.004918,            0.004918,            0.004918
                 156,             0.09322,             0.14875,            0.021869,             0.46097,              0.3424,             0.33824,             0.18596,            0.092619,             0.22382,            0.029923,            0.004885,            0.004885,            0.004885
                 157,            0.093417,             0.14974,            0.021793,             0.46225,             0.34201,             0.33835,             0.18608,            0.092615,              0.2238,            0.029916,            0.004852,            0.004852,            0.004852
                 158,            0.093246,              0.1482,            0.021781,             0.46046,             0.34258,             0.33889,             0.18629,            0.092613,             0.22383,            0.029911,            0.004819,            0.004819,            0.004819
