               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  68,            0.049671,             0.07015,            0.025149,             0.63588,             0.49441,             0.53521,             0.34321,            0.044395,            0.050033,            0.016966,            0.007789,            0.007789,            0.007789
                  69,            0.049578,            0.069626,            0.025168,             0.63603,             0.49629,             0.53569,             0.34309,             0.04439,            0.050018,            0.016968,            0.007756,            0.007756,            0.007756
                  70,            0.049611,            0.069976,            0.025141,             0.64091,             0.49414,             0.53647,             0.34388,            0.044377,            0.050008,            0.016948,            0.007723,            0.007723,            0.007723
                  71,            0.049594,            0.070025,            0.025193,             0.63956,             0.49663,             0.53676,             0.34407,            0.044365,            0.050007,            0.016925,             0.00769,             0.00769,             0.00769
                  72,            0.049595,            0.069837,            0.025062,              0.6427,             0.49523,             0.53739,             0.34388,            0.044354,            0.050001,            0.016905,            0.007657,            0.007657,            0.007657
                  73,            0.049548,            0.069936,            0.025056,             0.63903,             0.49694,             0.53705,             0.34324,            0.044341,            0.050002,            0.016888,            0.007624,            0.007624,            0.007624
                  74,              0.0496,            0.069924,            0.025058,             0.63715,             0.49553,             0.53731,             0.34369,            0.044337,            0.050002,            0.016881,            0.007591,            0.007591,            0.007591
                  75,            0.049479,            0.069819,            0.025023,             0.63272,              0.5004,             0.53757,              0.3434,            0.044334,            0.050003,            0.016864,            0.007558,            0.007558,            0.007558
                  76,             0.04952,            0.069765,            0.024976,              0.6298,             0.49918,              0.5373,             0.34401,             0.04433,            0.050004,            0.016838,            0.007525,            0.007525,            0.007525
                  77,            0.049467,            0.069758,            0.024876,             0.63386,             0.49707,             0.53661,             0.34453,            0.044314,             0.04999,            0.016808,            0.007492,            0.007492,            0.007492
                  78,            0.049438,            0.069696,            0.024918,             0.63912,             0.49622,              0.5371,             0.34418,            0.044301,             0.04999,              0.0168,            0.007459,            0.007459,            0.007459
